min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,519,5,26,40
0.1,1,5,1,2000,0,1,39
0.1,1,5,2,2000,0,1,39
0.1,1,5,3,-1,0,1,39
0.1,1,6,0,62,3,4,39
0.1,1,6,1,2000,1,1,39
0.1,1,6,2,2000,1,1,39
0.1,1,6,3,2000,0,0,0
0.1,1,7,0,30,1,2,39
0.1,1,7,1,2000,1,1,39
0.1,1,7,2,2000,1,1,39
0.1,1,7,3,2000,1,1,39
0.1,1,8,0,14,0,0,0
0.1,1,8,1,42,2,3,39
0.1,1,8,2,69,3,8,39
0.1,1,8,3,73,3,8,39
0.1,1,9,0,12,0,0,0
0.1,1,9,1,38,2,3,39
0.1,1,9,2,63,3,8,39
0.1,1,9,3,69,3,8,39
0.1,1,10,0,12,0,0,0
0.1,1,10,1,31,2,3,39
0.1,1,10,2,55,3,8,39
0.1,1,10,3,62,3,8,39
0.1,2,5,0,518,4,7,39
0.1,2,5,1,2000,0,0,0
0.1,2,5,2,2000,0,0,0
0.1,2,5,3,2000,0,0,0
0.1,2,6,0,121,4,6,39
0.1,2,6,1,2000,1,1,39
0.1,2,6,2,2000,1,2,39
0.1,2,6,3,2000,0,1,39
0.1,2,7,0,27,3,3,39
0.1,2,7,1,71,3,3,39
0.1,2,7,2,216,4,15,39
0.1,2,7,3,216,4,15,39
0.1,2,8,0,25,3,3,39
0.1,2,8,1,33,3,3,39
0.1,2,8,2,179,4,15,39
0.1,2,8,3,179,4,15,39
0.1,2,9,0,6,2,2,39
0.1,2,9,1,6,2,2,39
0.1,2,9,2,6,2,2,39
0.1,2,9,3,6,2,2,39
0.1,2,10,0,4,2,2,39
0.1,2,10,1,5,2,2,39
0.1,2,10,2,5,2,2,39
0.1,2,10,3,6,2,2,39
0.1,3,5,0,1793,4,13,39
0.1,3,5,1,2000,0,0,0
0.1,3,5,2,2000,0,0,0
0.1,3,5,3,2000,0,0,0
0.1,3,6,0,1165,4,8,39
0.1,3,6,1,2000,1,1,39
0.1,3,6,2,2000,0,0,0
0.1,3,6,3,2000,0,0,0
0.1,3,7,0,262,3,3,39
0.1,3,7,1,2000,3,4,39
0.1,3,7,2,2000,1,1,39
0.1,3,7,3,2000,1,1,39
0.1,3,8,0,59,3,3,39
0.1,3,8,1,2000,3,4,39
0.1,3,8,2,2000,1,1,39
0.1,3,8,3,2000,1,1,39
0.1,3,9,0,20,3,3,39
0.1,3,9,1,129,3,3,39
0.1,3,9,2,325,3,3,39
0.1,3,9,3,405,3,3,39
0.1,3,10,0,9,3,3,39
0.1,3,10,1,128,3,3,39
0.1,3,10,2,324,3,3,39
0.1,3,10,3,404,3,3,39
0.1,4,5,0,1608,5,11,39
0.1,4,5,1,2000,0,0,0
0.1,4,5,2,2000,0,0,0
0.1,4,5,3,2000,0,0,0
0.1,4,6,0,86,3,5,39
0.1,4,6,1,2000,0,0,0
0.1,4,6,2,2000,0,0,0
0.1,4,6,3,2000,0,0,0
0.1,4,7,0,15,3,3,39
0.1,4,7,1,2000,2,2,39
0.1,4,7,2,2000,2,2,39
0.1,4,7,3,2000,2,2,39
0.1,4,8,0,12,3,3,39
0.1,4,8,1,13,3,3,39
0.1,4,8,2,24,3,3,39
0.1,4,8,3,25,3,3,39
0.1,4,9,0,7,2,2,39
0.1,4,9,1,9,2,2,39
0.1,4,9,2,22,2,2,39
0.1,4,9,3,25,3,3,39
0.1,4,10,0,4,2,2,39
0.1,4,10,1,6,2,2,39
0.1,4,10,2,17,2,2,39
0.1,4,10,3,19,2,2,39
0.1,5,5,0,2000,5,21,40
0.1,5,5,1,2000,0,0,0
0.1,5,5,2,2000,0,0,0
0.1,5,5,3,2000,0,0,0
0.1,5,6,0,1067,6,16,39
0.1,5,6,1,2000,0,0,0
0.1,5,6,2,2000,0,0,0
0.1,5,6,3,2000,0,0,0
0.1,5,7,0,227,4,5,39
0.1,5,7,1,2000,3,5,39
0.1,5,7,2,2000,2,3,39
0.1,5,7,3,2000,1,1,39
0.1,5,8,0,22,2,3,39
0.1,5,8,1,205,3,4,39
0.1,5,8,2,630,3,7,39
0.1,5,8,3,1967,4,8,39
0.1,5,9,0,7,2,2,39
0.1,5,9,1,46,2,2,39
0.1,5,9,2,124,2,2,39
0.1,5,9,3,439,2,2,39
0.1,5,10,0,3,2,2,39
0.1,5,10,1,14,2,2,39
0.1,5,10,2,59,2,2,39
0.1,5,10,3,134,2,2,39
0.2,1,5,0,519,5,26,40
0.2,1,5,1,2000,0,1,39
0.2,1,5,2,2000,0,1,39
0.2,1,5,3,2000,0,1,39
0.2,1,6,0,62,3,4,39
0.2,1,6,1,2000,1,1,39
0.2,1,6,2,2000,1,1,39
0.2,1,6,3,2000,0,0,0
0.2,1,7,0,30,1,2,39
0.2,1,7,1,2000,1,1,39
0.2,1,7,2,2000,1,1,39
0.2,1,7,3,2000,1,1,39
0.2,1,8,0,19,0,1,39
0.2,1,8,1,2000,1,2,39
0.2,1,8,2,2000,2,3,39
0.2,1,8,3,2000,1,1,39
0.2,1,9,0,12,0,0,0
0.2,1,9,1,38,2,3,39
0.2,1,9,2,63,3,8,39
0.2,1,9,3,69,3,8,39
0.2,1,10,0,12,0,0,0
0.2,1,10,1,31,2,3,39
0.2,1,10,2,55,3,8,39
0.2,1,10,3,62,3,8,39
0.2,2,5,0,1648,5,22,40
0.2,2,5,1,2000,0,0,0
0.2,2,5,2,2000,0,0,0
0.2,2,5,3,2000,0,0,0
0.2,2,6,0,373,5,17,39
0.2,2,6,1,2000,1,1,39
0.2,2,6,2,2000,0,0,0
0.2,2,6,3,2000,0,0,0
0.2,2,7,0,64,3,3,39
0.2,2,7,1,482,3,5,39
0.2,2,7,2,2000,0,0,0
0.2,2,7,3,2000,0,0,0
0.2,2,8,0,32,3,3,39
0.2,2,8,1,274,3,4,39
0.2,2,8,2,2000,1,2,39
0.2,2,8,3,2000,0,0,0
0.2,2,9,0,14,3,3,39
0.2,2,9,1,18,3,3,39
0.2,2,9,2,140,3,10,39
0.2,2,9,3,147,3,10,39
0.2,2,10,0,6,3,3,39
0.2,2,10,1,8,3,3,39
0.2,2,10,2,63,3,4,39
0.2,2,10,3,68,3,4,39
0.2,3,5,0,1826,6,28,40
0.2,3,5,1,2000,0,0,0
0.2,3,5,2,2000,0,0,0
0.2,3,5,3,2000,0,0,0
0.2,3,6,0,730,6,25,39
0.2,3,6,1,2000,2,3,39
0.2,3,6,2,2000,1,1,39
0.2,3,6,3,2000,0,0,0
0.2,3,7,0,94,4,4,39
0.2,3,7,1,480,4,6,39
0.2,3,7,2,2000,0,0,0
0.2,3,7,3,2000,0,0,0
0.2,3,8,0,47,4,4,39
0.2,3,8,1,293,4,5,39
0.2,3,8,2,2000,1,2,39
0.2,3,8,3,2000,0,0,0
0.2,3,9,0,16,4,4,39
0.2,3,9,1,64,4,4,39
0.2,3,9,2,2000,4,5,39
0.2,3,9,3,2000,2,3,39
0.2,3,10,0,9,3,3,39
0.2,3,10,1,44,3,3,39
0.2,3,10,2,-1,3,3,39
0.2,3,10,3,-1,3,3,39
0.2,4,5,0,-1,3,3,39
0.2,4,5,1,2000,0,0,0
0.2,4,5,2,2000,0,0,0
0.2,4,5,3,2000,0,0,0
0.2,4,6,0,730,6,25,39
0.2,4,6,1,2000,2,3,39
0.2,4,6,2,2000,1,1,39
0.2,4,6,3,2000,0,0,0
0.2,4,7,0,116,4,5,39
0.2,4,7,1,516,4,7,39
0.2,4,7,2,2000,0,0,0
0.2,4,7,3,2000,0,0,0
0.2,4,8,0,47,4,4,39
0.2,4,8,1,293,4,5,39
0.2,4,8,2,2000,1,2,39
0.2,4,8,3,2000,0,0,0
0.2,4,9,0,16,4,4,39
0.2,4,9,1,64,4,4,39
0.2,4,9,2,2000,4,5,39
0.2,4,9,3,2000,2,3,39
0.2,4,10,0,9,3,3,39
0.2,4,10,1,46,3,3,39
0.2,4,10,2,1112,3,4,39
0.2,4,10,3,2000,2,3,39
0.2,5,5,0,1843,5,22,40
0.2,5,5,1,2000,0,0,0
0.2,5,5,2,2000,0,0,0
0.2,5,5,3,2000,0,0,0
0.2,5,6,0,414,5,17,39
0.2,5,6,1,2000,0,0,0
0.2,5,6,2,2000,0,0,0
0.2,5,6,3,2000,0,0,0
0.2,5,7,0,73,4,4,39
0.2,5,7,1,2000,0,0,0
0.2,5,7,2,2000,0,0,0
0.2,5,7,3,2000,0,0,0
0.2,5,8,0,37,4,4,39
0.2,5,8,1,2000,1,1,39
0.2,5,8,2,2000,0,0,0
0.2,5,8,3,2000,0,0,0
0.2,5,9,0,22,4,4,39
0.2,5,9,1,1053,4,4,39
0.2,5,9,2,2000,1,2,39
0.2,5,9,3,2000,0,0,0
0.2,5,10,0,15,3,3,39
0.2,5,10,1,480,3,3,39
0.2,5,10,2,2000,2,4,39
0.2,5,10,3,2000,0,0,0
0.3,1,5,0,519,5,26,40
0.3,1,5,1,2000,0,1,39
0.3,1,5,2,2000,0,1,39
0.3,1,5,3,2000,0,1,39
0.3,1,6,0,62,3,4,39
0.3,1,6,1,2000,1,1,39
0.3,1,6,2,2000,1,1,39
0.3,1,6,3,2000,0,0,0
0.3,1,7,0,30,1,2,39
0.3,1,7,1,2000,1,1,39
0.3,1,7,2,2000,1,1,39
0.3,1,7,3,2000,1,1,39
0.3,1,8,0,19,0,1,39
0.3,1,8,1,2000,1,2,39
0.3,1,8,2,2000,2,3,39
0.3,1,8,3,2000,1,1,39
0.3,1,9,0,12,0,0,0
0.3,1,9,1,38,2,3,39
0.3,1,9,2,63,3,8,39
0.3,1,9,3,69,3,8,39
0.3,1,10,0,12,0,0,0
0.3,1,10,1,31,2,3,39
0.3,1,10,2,55,3,8,39
0.3,1,10,3,62,3,8,39
0.3,2,5,0,1648,5,22,40
0.3,2,5,1,2000,0,0,0
0.3,2,5,2,2000,0,0,0
0.3,2,5,3,2000,0,0,0
0.3,2,6,0,373,5,17,39
0.3,2,6,1,2000,1,1,39
0.3,2,6,2,2000,0,0,0
0.3,2,6,3,2000,0,0,0
0.3,2,7,0,64,3,3,39
0.3,2,7,1,482,3,5,39
0.3,2,7,2,2000,0,0,0
0.3,2,7,3,2000,0,0,0
0.3,2,8,0,32,3,3,39
0.3,2,8,1,274,3,4,39
0.3,2,8,2,2000,1,2,39
0.3,2,8,3,2000,0,0,0
0.3,2,9,0,14,3,3,39
0.3,2,9,1,18,3,3,39
0.3,2,9,2,140,3,10,39
0.3,2,9,3,147,3,10,39
0.3,2,10,0,6,3,3,39
0.3,2,10,1,8,3,3,39
0.3,2,10,2,63,3,4,39
0.3,2,10,3,68,3,4,39
0.3,3,5,0,1826,6,28,40
0.3,3,5,1,2000,0,0,0
0.3,3,5,2,2000,0,0,0
0.3,3,5,3,2000,0,0,0
0.3,3,6,0,730,6,25,39
0.3,3,6,1,2000,2,3,39
0.3,3,6,2,2000,1,1,39
0.3,3,6,3,2000,0,0,0
0.3,3,7,0,94,4,4,39
0.3,3,7,1,480,4,6,39
0.3,3,7,2,2000,0,0,0
0.3,3,7,3,2000,0,0,0
0.3,3,8,0,47,4,4,39
0.3,3,8,1,293,4,5,39
0.3,3,8,2,2000,1,2,39
0.3,3,8,3,2000,0,0,0
0.3,3,9,0,16,4,4,39
0.3,3,9,1,64,4,4,39
0.3,3,9,2,2000,4,5,39
0.3,3,9,3,2000,2,3,39
0.3,3,10,0,9,3,3,39
0.3,3,10,1,44,3,3,39
0.3,3,10,2,1109,3,4,39
0.3,3,10,3,2000,2,3,39
0.3,4,5,0,2000,5,19,40
0.3,4,5,1,2000,0,0,0
0.3,4,5,2,2000,0,0,0
0.3,4,5,3,2000,0,0,0
0.3,4,6,0,730,6,25,39
0.3,4,6,1,2000,2,3,39
0.3,4,6,2,2000,1,1,39
0.3,4,6,3,2000,0,0,0
0.3,4,7,0,116,4,5,39
0.3,4,7,1,516,4,7,39
0.3,4,7,2,2000,0,0,0
0.3,4,7,3,2000,0,0,0
0.3,4,8,0,47,4,4,39
0.3,4,8,1,293,4,5,39
0.3,4,8,2,2000,1,2,39
0.3,4,8,3,2000,0,0,0
0.3,4,9,0,16,4,4,39
0.3,4,9,1,64,4,4,39
0.3,4,9,2,2000,4,5,39
0.3,4,9,3,2000,2,3,39
0.3,4,10,0,9,3,3,39
0.3,4,10,1,46,3,3,39
0.3,4,10,2,1112,3,4,39
0.3,4,10,3,2000,2,3,39
0.3,5,5,0,1843,5,22,40
0.3,5,5,1,2000,0,0,0
0.3,5,5,2,2000,0,0,0
0.3,5,5,3,2000,0,0,0
0.3,5,6,0,414,5,17,39
0.3,5,6,1,2000,0,0,0
0.3,5,6,2,2000,0,0,0
0.3,5,6,3,2000,0,0,0
0.3,5,7,0,73,4,4,39
0.3,5,7,1,2000,0,0,0
0.3,5,7,2,2000,0,0,0
0.3,5,7,3,2000,0,0,0
0.3,5,8,0,37,4,4,39
0.3,5,8,1,2000,1,1,39
0.3,5,8,2,2000,0,0,0
0.3,5,8,3,2000,0,0,0
0.3,5,9,0,22,4,4,39
0.3,5,9,1,1053,4,4,39
0.3,5,9,2,2000,1,2,39
0.3,5,9,3,2000,0,0,0
0.3,5,10,0,15,3,3,39
0.3,5,10,1,480,3,3,39
0.3,5,10,2,2000,2,4,39
0.3,5,10,3,2000,0,0,0
0.4,1,5,0,519,5,26,40
0.4,1,5,1,2000,0,1,39
0.4,1,5,2,2000,0,1,39
0.4,1,5,3,2000,0,1,39
0.4,1,6,0,62,3,4,39
0.4,1,6,1,2000,1,1,39
0.4,1,6,2,2000,1,1,39
0.4,1,6,3,2000,0,0,0
0.4,1,7,0,30,1,2,39
0.4,1,7,1,2000,1,1,39
0.4,1,7,2,2000,1,1,39
0.4,1,7,3,2000,1,1,39
0.4,1,8,0,14,0,0,0
0.4,1,8,1,42,2,3,39
0.4,1,8,2,69,3,8,39
0.4,1,8,3,73,3,8,39
0.4,1,9,0,12,0,0,0
0.4,1,9,1,38,2,3,39
0.4,1,9,2,63,3,8,39
0.4,1,9,3,69,3,8,39
0.4,1,10,0,12,0,0,0
0.4,1,10,1,31,2,3,39
0.4,1,10,2,55,3,8,39
0.4,1,10,3,62,3,8,39
0.4,2,5,0,1648,5,22,40
0.4,2,5,1,2000,0,0,0
0.4,2,5,2,2000,0,0,0
0.4,2,5,3,2000,0,0,0
0.4,2,6,0,373,5,17,39
0.4,2,6,1,2000,1,1,39
0.4,2,6,2,2000,0,0,0
0.4,2,6,3,2000,0,0,0
0.4,2,7,0,75,4,4,39
0.4,2,7,1,475,4,7,39
0.4,2,7,2,2000,1,1,39
0.4,2,7,3,2000,1,1,39
0.4,2,8,0,36,4,4,39
0.4,2,8,1,286,4,5,39
0.4,2,8,2,2000,2,3,39
0.4,2,8,3,2000,1,1,39
0.4,2,9,0,21,4,4,39
0.4,2,9,1,27,4,4,39
0.4,2,9,2,142,4,11,39
0.4,2,9,3,149,4,11,39
0.4,2,10,0,15,4,4,39
0.4,2,10,1,19,4,4,39
0.4,2,10,2,68,4,5,39
0.4,2,10,3,73,4,5,39
0.4,3,5,0,752,6,28,40
0.4,3,5,1,2000,0,1,39
0.4,3,5,2,2000,0,1,39
0.4,3,5,3,2000,0,1,39
0.4,3,6,0,283,6,22,40
0.4,3,6,1,2000,0,1,39
0.4,3,6,2,2000,0,1,39
0.4,3,6,3,2000,0,1,39
0.4,3,7,0,154,6,17,39
0.4,3,7,1,220,6,18,39
0.4,3,7,2,250,6,18,39
0.4,3,7,3,306,6,18,39
0.4,3,8,0,35,5,5,39
0.4,3,8,1,72,5,6,39
0.4,3,8,2,235,6,18,39
0.4,3,8,3,260,6,18,39
0.4,3,9,0,28,5,5,39
0.4,3,9,1,57,5,6,39
0.4,3,9,2,189,5,13,39
0.4,3,9,3,200,5,13,39
0.4,3,10,0,9,3,3,39
0.4,3,10,1,37,4,5,39
0.4,3,10,2,137,4,12,39
0.4,3,10,3,154,4,12,39
0.4,4,5,0,2000,5,22,40
0.4,4,5,1,2000,0,0,0
0.4,4,5,2,2000,0,0,0
0.4,4,5,3,2000,0,0,0
0.4,4,6,0,510,6,19,39
0.4,4,6,1,2000,0,0,0
0.4,4,6,2,2000,0,0,0
0.4,4,6,3,2000,0,0,0
0.4,4,7,0,160,5,6,39
0.4,4,7,1,2000,2,2,39
0.4,4,7,2,2000,0,0,0
0.4,4,7,3,2000,0,0,0
0.4,4,8,0,58,5,6,39
0.4,4,8,1,2000,5,7,39
0.4,4,8,2,2000,1,1,39
0.4,4,8,3,2000,0,0,0
0.4,4,9,0,19,5,6,39
0.4,4,9,1,900,5,6,39
0.4,4,9,2,2000,2,3,39
0.4,4,9,3,2000,1,1,39
0.4,4,10,0,12,4,5,39
0.4,4,10,1,296,5,6,39
0.4,4,10,2,2000,2,4,39
0.4,4,10,3,2000,2,3,39
0.4,5,5,0,1147,6,30,40
0.4,5,5,1,2000,0,1,39
0.4,5,5,2,2000,0,1,39
0.4,5,5,3,2000,0,1,39
0.4,5,6,0,550,5,18,39
0.4,5,6,1,2000,0,1,39
0.4,5,6,2,2000,0,1,39
0.4,5,6,3,2000,0,1,39
0.4,5,7,0,138,5,9,39
0.4,5,7,1,2000,2,2,39
0.4,5,7,2,2000,0,0,0
0.4,5,7,3,2000,0,0,0
0.4,5,8,0,95,5,7,39
0.4,5,8,1,2000,2,2,39
0.4,5,8,2,2000,1,1,39
0.4,5,8,3,2000,0,0,0
0.4,5,9,0,71,5,6,39
0.4,5,9,1,2000,2,2,39
0.4,5,9,2,2000,1,1,39
0.4,5,9,3,2000,0,0,0
0.4,5,10,0,51,4,5,39
0.4,5,10,1,2000,4,8,39
0.4,5,10,2,2000,1,3,39
0.4,5,10,3,2000,0,0,0
