min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,1,2,0,5000,1,3
0.1,1,2,1,5000,0,2
0.1,1,2,2,5000,0,2
0.1,1,2,3,5000,0,2
0.1,1,3,0,383,3,5
0.1,1,3,1,1646,3,5
0.1,1,3,2,2021,3,5
0.1,1,3,3,5000,3,5
0.1,1,4,0,1,0,0
0.1,1,4,1,1,0,0
0.1,1,4,2,1,0,0
0.1,1,4,3,1,0,0
0.1,1,5,0,1,0,0
0.1,1,5,1,1,0,0
0.1,1,5,2,1,0,0
0.1,1,5,3,1,0,0
0.1,1,6,0,0,0,0
0.1,1,6,1,0,0,0
0.1,1,6,2,0,0,0
0.1,1,6,3,0,0,0
0.1,1,7,0,0,0,0
0.1,1,7,1,0,0,0
0.1,1,7,2,0,0,0
0.1,1,7,3,0,0,0
0.1,1,8,0,0,0,0
0.1,1,8,1,0,0,0
0.1,1,8,2,0,0,0
0.1,1,8,3,0,0,0
0.1,1,9,0,0,0,0
0.1,1,9,1,0,0,0
0.1,1,9,2,0,0,0
0.1,1,9,3,0,0,0
0.1,1,10,0,0,0,0
0.1,1,10,1,0,0,0
0.1,1,10,2,0,0,0
0.1,1,10,3,0,0,0
0.1,2,2,0,5000,0,0
0.1,2,2,1,5000,0,0
0.1,2,2,2,5000,0,0
0.1,2,2,3,5000,0,0
0.1,2,3,0,388,4,7
0.1,2,3,1,1651,4,7
0.1,2,3,2,2026,4,7
0.1,2,3,3,5000,4,7
0.1,2,4,0,195,4,5
0.1,2,4,1,693,4,6
0.1,2,4,2,837,4,6
0.1,2,4,3,4888,4,6
0.1,2,5,0,67,2,2
0.1,2,5,1,148,2,3
0.1,2,5,2,171,2,3
0.1,2,5,3,662,2,3
0.1,2,6,0,29,2,2
0.1,2,6,1,59,2,2
0.1,2,6,2,66,2,2
0.1,2,6,3,547,2,2
0.1,2,7,0,2,2,2
0.1,2,7,1,2,2,2
0.1,2,7,2,2,2,2
0.1,2,7,3,2,2,2
0.1,2,8,0,2,2,2
0.1,2,8,1,2,2,2
0.1,2,8,2,2,2,2
0.1,2,8,3,2,2,2
0.1,2,9,0,0,0,0
0.1,2,9,1,0,0,0
0.1,2,9,2,0,0,0
0.1,2,9,3,0,0,0
0.1,2,10,0,0,0,0
0.1,2,10,1,0,0,0
0.1,2,10,2,0,0,0
0.1,2,10,3,0,0,0
0.1,3,2,0,5000,0,0
0.1,3,2,1,5000,0,0
0.1,3,2,2,5000,0,0
0.1,3,2,3,5000,0,0
0.1,3,3,0,944,7,10
0.1,3,3,1,2492,7,10
0.1,3,3,2,2931,7,10
0.1,3,3,3,5000,7,10
0.1,3,4,0,301,7,7
0.1,3,4,1,567,7,7
0.1,3,4,2,666,7,7
0.1,3,4,3,5000,7,7
0.1,3,5,0,34,4,4
0.1,3,5,1,78,4,4
0.1,3,5,2,93,4,4
0.1,3,5,3,596,4,4
0.1,3,6,0,31,4,4
0.1,3,6,1,61,4,4
0.1,3,6,2,68,4,4
0.1,3,6,3,549,4,4
0.1,3,7,0,4,4,4
0.1,3,7,1,4,4,4
0.1,3,7,2,4,4,4
0.1,3,7,3,4,4,4
0.1,3,8,0,4,4,4
0.1,3,8,1,4,4,4
0.1,3,8,2,4,4,4
0.1,3,8,3,4,4,4
0.1,3,9,0,2,2,2
0.1,3,9,1,2,2,2
0.1,3,9,2,2,2,2
0.1,3,9,3,2,2,2
0.1,3,10,0,2,2,2
0.1,3,10,1,2,2,2
0.1,3,10,2,2,2,2
0.1,3,10,3,2,2,2
0.1,4,2,0,5000,0,0
0.1,4,2,1,5000,0,0
0.1,4,2,2,5000,0,0
0.1,4,2,3,5000,0,0
0.1,4,3,0,1380,8,11
0.1,4,3,1,2964,8,11
0.1,4,3,2,5000,8,11
0.1,4,3,3,5000,7,10
0.1,4,4,0,308,7,7
0.1,4,4,1,576,7,7
0.1,4,4,2,690,7,7
0.1,4,4,3,5000,7,7
0.1,4,5,0,34,4,4
0.1,4,5,1,78,4,4
0.1,4,5,2,93,4,4
0.1,4,5,3,596,4,4
0.1,4,6,0,31,4,4
0.1,4,6,1,61,4,4
0.1,4,6,2,68,4,4
0.1,4,6,3,549,4,4
0.1,4,7,0,4,4,4
0.1,4,7,1,4,4,4
0.1,4,7,2,4,4,4
0.1,4,7,3,4,4,4
0.1,4,8,0,4,4,4
0.1,4,8,1,4,4,4
0.1,4,8,2,4,4,4
0.1,4,8,3,4,4,4
0.1,4,9,0,2,2,2
0.1,4,9,1,2,2,2
0.1,4,9,2,2,2,2
0.1,4,9,3,2,2,2
0.1,4,10,0,2,2,2
0.1,4,10,1,2,2,2
0.1,4,10,2,2,2,2
0.1,4,10,3,2,2,2
0.1,5,2,0,5000,0,0
0.1,5,2,1,5000,0,0
0.1,5,2,2,5000,0,0
0.1,5,2,3,5000,0,0
0.1,5,3,0,5000,0,4
0.1,5,3,1,5000,0,2
0.1,5,3,2,5000,0,1
0.1,5,3,3,5000,0,0
0.1,5,4,0,549,7,7
0.1,5,4,1,1140,7,8
0.1,5,4,2,1540,7,8
0.1,5,4,3,5000,7,8
0.1,5,5,0,117,6,6
0.1,5,5,1,214,6,7
0.1,5,5,2,335,7,8
0.1,5,5,3,1047,7,8
0.1,5,6,0,33,4,4
0.1,5,6,1,59,4,5
0.1,5,6,2,157,4,5
0.1,5,6,3,242,4,5
0.1,5,7,0,5,4,4
0.1,5,7,1,8,4,4
0.1,5,7,2,49,4,4
0.1,5,7,3,62,4,4
0.1,5,8,0,0,0,0
0.1,5,8,1,1,0,0
0.1,5,8,2,9,0,0
0.1,5,8,3,12,0,0
0.1,5,9,0,0,0,0
0.1,5,9,1,0,0,0
0.1,5,9,2,1,0,0
0.1,5,9,3,1,0,0
0.1,5,10,0,0,0,0
0.1,5,10,1,0,0,0
0.1,5,10,2,1,0,0
0.1,5,10,3,-1,0,0
0.2,1,2,0,5000,1,3
0.2,1,2,1,5000,0,2
0.2,1,2,2,5000,0,2
0.2,1,2,3,5000,0,2
0.2,1,3,0,383,3,5
0.2,1,3,1,1646,3,5
0.2,1,3,2,2021,3,5
0.2,1,3,3,5000,3,5
0.2,1,4,0,1,0,0
0.2,1,4,1,1,0,0
0.2,1,4,2,1,0,0
0.2,1,4,3,1,0,0
0.2,1,5,0,1,0,0
0.2,1,5,1,1,0,0
0.2,1,5,2,1,0,0
0.2,1,5,3,1,0,0
0.2,1,6,0,0,0,0
0.2,1,6,1,0,0,0
0.2,1,6,2,0,0,0
0.2,1,6,3,0,0,0
0.2,1,7,0,0,0,0
0.2,1,7,1,0,0,0
0.2,1,7,2,0,0,0
0.2,1,7,3,0,0,0
0.2,1,8,0,0,0,0
0.2,1,8,1,0,0,0
0.2,1,8,2,0,0,0
0.2,1,8,3,0,0,0
0.2,1,9,0,0,0,0
0.2,1,9,1,0,0,0
0.2,1,9,2,0,0,0
0.2,1,9,3,0,0,0
0.2,1,10,0,0,0,0
0.2,1,10,1,0,0,0
0.2,1,10,2,0,0,0
0.2,1,10,3,0,0,0
0.2,2,2,0,5000,0,0
0.2,2,2,1,5000,0,0
0.2,2,2,2,5000,0,0
0.2,2,2,3,5000,0,0
0.2,2,3,0,3633,5,9
0.2,2,3,1,3633,5,9
0.2,2,3,2,3633,5,9
0.2,2,3,3,3633,5,9
0.2,2,4,0,33,5,5
0.2,2,4,1,33,5,5
0.2,2,4,2,33,5,5
0.2,2,4,3,33,5,5
0.2,2,5,0,4,2,2
0.2,2,5,1,4,2,2
0.2,2,5,2,4,2,2
0.2,2,5,3,4,2,2
0.2,2,6,0,4,2,2
0.2,2,6,1,4,2,2
0.2,2,6,2,4,2,2
0.2,2,6,3,4,2,2
0.2,2,7,0,2,2,2
0.2,2,7,1,3,2,2
0.2,2,7,2,3,2,2
0.2,2,7,3,3,2,2
0.2,2,8,0,0,0,0
0.2,2,8,1,0,0,0
0.2,2,8,2,0,0,0
0.2,2,8,3,0,0,0
0.2,2,9,0,0,0,0
0.2,2,9,1,0,0,0
0.2,2,9,2,0,0,0
0.2,2,9,3,0,0,0
0.2,2,10,0,0,0,0
0.2,2,10,1,0,0,0
0.2,2,10,2,0,0,0
0.2,2,10,3,0,0,0
0.2,3,2,0,5000,2,4
0.2,3,2,1,5000,0,2
0.2,3,2,2,5000,0,2
0.2,3,2,3,5000,0,2
0.2,3,3,0,430,6,8
0.2,3,3,1,1804,6,8
0.2,3,3,2,2194,6,8
0.2,3,3,3,5000,6,8
0.2,3,4,0,59,4,5
0.2,3,4,1,82,4,5
0.2,3,4,2,92,4,5
0.2,3,4,3,161,4,5
0.2,3,5,0,5,3,3
0.2,3,5,1,5,3,3
0.2,3,5,2,5,3,3
0.2,3,5,3,8,3,3
0.2,3,6,0,3,3,3
0.2,3,6,1,3,3,3
0.2,3,6,2,3,3,3
0.2,3,6,3,4,3,3
0.2,3,7,0,1,0,0
0.2,3,7,1,1,0,0
0.2,3,7,2,1,0,0
0.2,3,7,3,1,0,0
0.2,3,8,0,1,0,0
0.2,3,8,1,1,0,0
0.2,3,8,2,1,0,0
0.2,3,8,3,1,0,0
0.2,3,9,0,1,0,0
0.2,3,9,1,1,0,0
0.2,3,9,2,1,0,0
0.2,3,9,3,1,0,0
0.2,3,10,0,1,0,0
0.2,3,10,1,1,0,0
0.2,3,10,2,1,0,0
0.2,3,10,3,1,0,0
0.2,4,2,0,5000,0,0
0.2,4,2,1,5000,0,0
0.2,4,2,2,5000,0,0
0.2,4,2,3,5000,0,0
0.2,4,3,0,5000,6,8
0.2,4,3,1,5000,5,7
0.2,4,3,2,5000,2,4
0.2,4,3,3,5000,0,2
0.2,4,4,0,59,4,5
0.2,4,4,1,82,4,5
0.2,4,4,2,93,4,5
0.2,4,4,3,172,4,5
0.2,4,5,0,5,3,3
0.2,4,5,1,5,3,3
0.2,4,5,2,6,3,3
0.2,4,5,3,14,3,3
0.2,4,6,0,3,3,3
0.2,4,6,1,3,3,3
0.2,4,6,2,3,3,3
0.2,4,6,3,4,3,3
0.2,4,7,0,1,0,0
0.2,4,7,1,1,0,0
0.2,4,7,2,1,0,0
0.2,4,7,3,1,0,0
0.2,4,8,0,1,0,0
0.2,4,8,1,1,0,0
0.2,4,8,2,1,0,0
0.2,4,8,3,1,0,0
0.2,4,9,0,1,0,0
0.2,4,9,1,1,0,0
0.2,4,9,2,1,0,0
0.2,4,9,3,1,0,0
0.2,4,10,0,1,0,0
0.2,4,10,1,1,0,0
0.2,4,10,2,1,0,0
0.2,4,10,3,1,0,0
0.2,5,2,0,5000,0,0
0.2,5,2,1,5000,0,0
0.2,5,2,2,5000,0,0
0.2,5,2,3,5000,0,0
0.2,5,3,0,439,6,8
0.2,5,3,1,1817,6,8
0.2,5,3,2,2210,6,8
0.2,5,3,3,5000,6,8
0.2,5,4,0,58,4,5
0.2,5,4,1,80,4,5
0.2,5,4,2,91,4,5
0.2,5,4,3,170,4,5
0.2,5,5,0,5,3,3
0.2,5,5,1,5,3,3
0.2,5,5,2,5,3,3
0.2,5,5,3,8,3,3
0.2,5,6,0,3,3,3
0.2,5,6,1,3,3,3
0.2,5,6,2,3,3,3
0.2,5,6,3,4,3,3
0.2,5,7,0,3,3,3
0.2,5,7,1,3,3,3
0.2,5,7,2,3,3,3
0.2,5,7,3,3,3,3
0.2,5,8,0,3,3,3
0.2,5,8,1,3,3,3
0.2,5,8,2,3,3,3
0.2,5,8,3,3,3,3
0.2,5,9,0,3,3,3
0.2,5,9,1,3,3,3
0.2,5,9,2,3,3,3
0.2,5,9,3,3,3,3
0.2,5,10,0,2,2,2
0.2,5,10,1,2,2,2
0.2,5,10,2,2,2,2
0.2,5,10,3,-1,2,2
0.3,1,2,0,5000,1,3
0.3,1,2,1,5000,0,2
0.3,1,2,2,5000,0,2
0.3,1,2,3,5000,0,2
0.3,1,3,0,383,3,5
0.3,1,3,1,1646,3,5
0.3,1,3,2,2021,3,5
0.3,1,3,3,5000,3,5
0.3,1,4,0,1,0,0
0.3,1,4,1,1,0,0
0.3,1,4,2,1,0,0
0.3,1,4,3,1,0,0
0.3,1,5,0,1,0,0
0.3,1,5,1,1,0,0
0.3,1,5,2,1,0,0
0.3,1,5,3,1,0,0
0.3,1,6,0,0,0,0
0.3,1,6,1,0,0,0
0.3,1,6,2,0,0,0
0.3,1,6,3,0,0,0
0.3,1,7,0,0,0,0
0.3,1,7,1,0,0,0
0.3,1,7,2,0,0,0
0.3,1,7,3,0,0,0
0.3,1,8,0,0,0,0
0.3,1,8,1,0,0,0
0.3,1,8,2,0,0,0
0.3,1,8,3,0,0,0
0.3,1,9,0,0,0,0
0.3,1,9,1,0,0,0
0.3,1,9,2,0,0,0
0.3,1,9,3,0,0,0
0.3,1,10,0,0,0,0
0.3,1,10,1,0,0,0
0.3,1,10,2,0,0,0
0.3,1,10,3,0,0,0
0.3,2,2,0,5000,0,0
0.3,2,2,1,5000,0,0
0.3,2,2,2,5000,0,0
0.3,2,2,3,5000,0,0
0.3,2,3,0,3633,5,9
0.3,2,3,1,3633,5,9
0.3,2,3,2,3633,5,9
0.3,2,3,3,3633,5,9
0.3,2,4,0,33,5,5
0.3,2,4,1,33,5,5
0.3,2,4,2,33,5,5
0.3,2,4,3,33,5,5
0.3,2,5,0,5,3,3
0.3,2,5,1,5,3,3
0.3,2,5,2,5,3,3
0.3,2,5,3,5,3,3
0.3,2,6,0,4,2,2
0.3,2,6,1,4,2,2
0.3,2,6,2,4,2,2
0.3,2,6,3,4,2,2
0.3,2,7,0,2,2,2
0.3,2,7,1,3,2,2
0.3,2,7,2,3,2,2
0.3,2,7,3,3,2,2
0.3,2,8,0,1,0,0
0.3,2,8,1,2,1,1
0.3,2,8,2,3,2,2
0.3,2,8,3,3,2,2
0.3,2,9,0,0,0,0
0.3,2,9,1,0,0,0
0.3,2,9,2,1,0,0
0.3,2,9,3,1,0,0
0.3,2,10,0,0,0,0
0.3,2,10,1,0,0,0
0.3,2,10,2,1,0,0
0.3,2,10,3,1,0,0
0.3,3,2,0,5000,0,0
0.3,3,2,1,5000,0,0
0.3,3,2,2,5000,0,0
0.3,3,2,3,5000,0,0
0.3,3,3,0,4334,10,16
0.3,3,3,1,4503,10,16
0.3,3,3,2,4546,10,16
0.3,3,3,3,5000,10,16
0.3,3,4,0,47,9,10
0.3,3,4,1,47,9,10
0.3,3,4,2,47,9,10
0.3,3,4,3,47,9,10
0.3,3,5,0,20,7,7
0.3,3,5,1,24,7,7
0.3,3,5,2,25,7,7
0.3,3,5,3,25,7,7
0.3,3,6,0,8,5,5
0.3,3,6,1,8,5,5
0.3,3,6,2,8,5,5
0.3,3,6,3,8,5,5
0.3,3,7,0,4,4,4
0.3,3,7,1,5,4,4
0.3,3,7,2,5,4,4
0.3,3,7,3,5,4,4
0.3,3,8,0,1,0,0
0.3,3,8,1,2,1,1
0.3,3,8,2,3,2,2
0.3,3,8,3,3,2,2
0.3,3,9,0,0,0,0
0.3,3,9,1,0,0,0
0.3,3,9,2,1,0,0
0.3,3,9,3,2,1,1
0.3,3,10,0,0,0,0
0.3,3,10,1,0,0,0
0.3,3,10,2,1,0,0
0.3,3,10,3,1,0,0
0.3,4,2,0,5000,0,0
0.3,4,2,1,5000,0,0
0.3,4,2,2,5000,0,0
0.3,4,2,3,5000,0,0
0.3,4,3,0,4355,10,16
0.3,4,3,1,4549,10,16
0.3,4,3,2,4687,10,16
0.3,4,3,3,5000,10,16
0.3,4,4,0,50,9,10
0.3,4,4,1,62,9,10
0.3,4,4,2,63,9,10
0.3,4,4,3,542,9,10
0.3,4,5,0,20,7,7
0.3,4,5,1,25,7,7
0.3,4,5,2,27,7,7
0.3,4,5,3,122,7,7
0.3,4,6,0,8,5,5
0.3,4,6,1,9,5,5
0.3,4,6,2,10,5,5
0.3,4,6,3,59,5,5
0.3,4,7,0,4,4,4
0.3,4,7,1,5,4,4
0.3,4,7,2,5,4,4
0.3,4,7,3,5,4,4
0.3,4,8,0,1,0,0
0.3,4,8,1,2,1,1
0.3,4,8,2,3,2,2
0.3,4,8,3,3,2,2
0.3,4,9,0,0,0,0
0.3,4,9,1,0,0,0
0.3,4,9,2,1,0,0
0.3,4,9,3,2,1,1
0.3,4,10,0,0,0,0
0.3,4,10,1,0,0,0
0.3,4,10,2,1,0,0
0.3,4,10,3,1,0,0
0.3,5,2,0,5000,0,0
0.3,5,2,1,5000,0,0
0.3,5,2,2,5000,0,0
0.3,5,2,3,5000,0,0
0.3,5,3,0,5000,10,12
0.3,5,3,1,5000,10,12
0.3,5,3,2,5000,9,11
0.3,5,3,3,5000,7,10
0.3,5,4,0,1007,10,11
0.3,5,4,1,2802,10,11
0.3,5,4,2,5000,10,12
0.3,5,4,3,5000,7,9
0.3,5,5,0,160,9,10
0.3,5,5,1,396,9,10
0.3,5,5,2,927,9,11
0.3,5,5,3,1464,9,11
0.3,5,6,0,11,4,4
0.3,5,6,1,16,4,4
0.3,5,6,2,17,4,4
0.3,5,6,3,23,4,4
0.3,5,7,0,3,2,2
0.3,5,7,1,3,2,2
0.3,5,7,2,4,2,2
0.3,5,7,3,4,2,2
0.3,5,8,0,3,2,2
0.3,5,8,1,3,2,2
0.3,5,8,2,4,2,2
0.3,5,8,3,4,2,2
0.3,5,9,0,0,0,0
0.3,5,9,1,0,0,0
0.3,5,9,2,0,0,0
0.3,5,9,3,0,0,0
0.3,5,10,0,0,0,0
0.3,5,10,1,0,0,0
0.3,5,10,2,0,0,0
0.3,5,10,3,-1,0,0
0.4,1,2,0,5000,8,13
0.4,1,2,1,5000,2,6
0.4,1,2,2,5000,2,6
0.4,1,2,3,5000,0,0
0.4,1,3,0,30,1,1
0.4,1,3,1,30,1,1
0.4,1,3,2,30,1,1
0.4,1,3,3,30,1,1
0.4,1,4,0,21,1,1
0.4,1,4,1,23,1,1
0.4,1,4,2,23,1,1
0.4,1,4,3,24,1,1
0.4,1,5,0,2,1,1
0.4,1,5,1,2,1,1
0.4,1,5,2,2,1,1
0.4,1,5,3,2,1,1
0.4,1,6,0,1,0,0
0.4,1,6,1,1,0,0
0.4,1,6,2,1,0,0
0.4,1,6,3,1,0,0
0.4,1,7,0,1,0,0
0.4,1,7,1,1,0,0
0.4,1,7,2,1,0,0
0.4,1,7,3,1,0,0
0.4,1,8,0,0,0,0
0.4,1,8,1,0,0,0
0.4,1,8,2,0,0,0
0.4,1,8,3,0,0,0
0.4,1,9,0,0,0,0
0.4,1,9,1,0,0,0
0.4,1,9,2,0,0,0
0.4,1,9,3,0,0,0
0.4,1,10,0,0,0,0
0.4,1,10,1,0,0,0
0.4,1,10,2,0,0,0
0.4,1,10,3,0,0,0
0.4,2,2,0,5000,10,16
0.4,2,2,1,5000,4,9
0.4,2,2,2,5000,3,8
0.4,2,2,3,5000,0,0
0.4,2,3,0,70,4,4
0.4,2,3,1,178,4,4
0.4,2,3,2,249,4,4
0.4,2,3,3,763,4,4
0.4,2,4,0,13,3,3
0.4,2,4,1,49,3,3
0.4,2,4,2,106,3,3
0.4,2,4,3,358,3,3
0.4,2,5,0,2,1,1
0.4,2,5,1,22,1,1
0.4,2,5,2,49,1,1
0.4,2,5,3,127,1,1
0.4,2,6,0,0,0,0
0.4,2,6,1,0,0,0
0.4,2,6,2,3,0,0
0.4,2,6,3,13,0,0
0.4,2,7,0,0,0,0
0.4,2,7,1,0,0,0
0.4,2,7,2,0,0,0
0.4,2,7,3,4,0,0
0.4,2,8,0,0,0,0
0.4,2,8,1,0,0,0
0.4,2,8,2,0,0,0
0.4,2,8,3,0,0,0
0.4,2,9,0,0,0,0
0.4,2,9,1,0,0,0
0.4,2,9,2,0,0,0
0.4,2,9,3,0,0,0
0.4,2,10,0,0,0,0
0.4,2,10,1,0,0,0
0.4,2,10,2,0,0,0
0.4,2,10,3,0,0,0
0.4,3,2,0,5000,0,2
0.4,3,2,1,5000,0,0
0.4,3,2,2,5000,0,0
0.4,3,2,3,5000,0,0
0.4,3,3,0,1361,9,10
0.4,3,3,1,4582,9,10
0.4,3,3,2,5000,9,10
0.4,3,3,3,5000,0,0
0.4,3,4,0,19,5,6
0.4,3,4,1,56,5,6
0.4,3,4,2,113,5,6
0.4,3,4,3,369,5,6
0.4,3,5,0,7,1,1
0.4,3,5,1,28,1,1
0.4,3,5,2,55,1,1
0.4,3,5,3,137,1,1
0.4,3,6,0,0,0,0
0.4,3,6,1,0,0,0
0.4,3,6,2,3,0,0
0.4,3,6,3,13,0,0
0.4,3,7,0,0,0,0
0.4,3,7,1,0,0,0
0.4,3,7,2,0,0,0
0.4,3,7,3,0,0,0
0.4,3,8,0,0,0,0
0.4,3,8,1,0,0,0
0.4,3,8,2,0,0,0
0.4,3,8,3,0,0,0
0.4,3,9,0,0,0,0
0.4,3,9,1,0,0,0
0.4,3,9,2,0,0,0
0.4,3,9,3,0,0,0
0.4,3,10,0,0,0,0
0.4,3,10,1,0,0,0
0.4,3,10,2,0,0,0
0.4,3,10,3,0,0,0
0.4,4,2,0,5000,0,0
0.4,4,2,1,5000,0,0
0.4,4,2,2,5000,0,0
0.4,4,2,3,5000,0,0
0.4,4,3,0,262,8,9
0.4,4,3,1,392,8,9
0.4,4,3,2,501,8,9
0.4,4,3,3,2186,8,9
0.4,4,4,0,49,7,8
0.4,4,4,1,117,7,8
0.4,4,4,2,184,7,8
0.4,4,4,3,487,7,8
0.4,4,5,0,5,4,4
0.4,4,5,1,6,4,4
0.4,4,5,2,7,4,4
0.4,4,5,3,9,4,4
0.4,4,6,0,1,0,0
0.4,4,6,1,1,0,0
0.4,4,6,2,1,0,0
0.4,4,6,3,6,2,2
0.4,4,7,0,1,0,0
0.4,4,7,1,1,0,0
0.4,4,7,2,1,0,0
0.4,4,7,3,3,1,1
0.4,4,8,0,1,0,0
0.4,4,8,1,1,0,0
0.4,4,8,2,1,0,0
0.4,4,8,3,1,0,0
0.4,4,9,0,1,0,0
0.4,4,9,1,1,0,0
0.4,4,9,2,1,0,0
0.4,4,9,3,1,0,0
0.4,4,10,0,1,0,0
0.4,4,10,1,1,0,0
0.4,4,10,2,1,0,0
0.4,4,10,3,1,0,0
0.4,5,2,0,5000,0,0
0.4,5,2,1,5000,0,0
0.4,5,2,2,5000,0,0
0.4,5,2,3,5000,0,0
0.4,5,3,0,5000,3,5
0.4,5,3,1,5000,1,3
0.4,5,3,2,5000,1,3
0.4,5,3,3,5000,0,0
0.4,5,4,0,29,4,4
0.4,5,4,1,35,4,4
0.4,5,4,2,35,4,4
0.4,5,4,3,41,4,4
0.4,5,5,0,14,4,4
0.4,5,5,1,15,4,4
0.4,5,5,2,15,4,4
0.4,5,5,3,26,4,4
0.4,5,6,0,4,3,3
0.4,5,6,1,5,3,3
0.4,5,6,2,7,3,3
0.4,5,6,3,16,3,3
0.4,5,7,0,2,2,2
0.4,5,7,1,3,2,2
0.4,5,7,2,3,2,2
0.4,5,7,3,3,2,2
0.4,5,8,0,2,2,2
0.4,5,8,1,3,2,2
0.4,5,8,2,3,2,2
0.4,5,8,3,3,2,2
0.4,5,9,0,1,0,0
0.4,5,9,1,1,0,0
0.4,5,9,2,1,0,0
0.4,5,9,3,1,0,0
0.4,5,10,0,0,0,0
0.4,5,10,1,0,0,0
0.4,5,10,2,0,0,0
0.4,5,10,3,-1,0,0
