min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,1,2,0,5000,0,0
0.1,1,2,1,5000,0,0
0.1,1,2,2,5000,0,0
0.1,1,2,3,5000,0,0
0.1,1,3,0,5000,0,0
0.1,1,3,1,5000,0,0
0.1,1,3,2,5000,0,0
0.1,1,3,3,5000,0,0
0.1,1,4,0,2373,24,82
0.1,1,4,1,5000,24,84
0.1,1,4,2,5000,23,75
0.1,1,4,3,5000,18,47
0.1,1,5,0,1133,24,80
0.1,1,5,1,2548,24,82
0.1,1,5,2,2681,24,82
0.1,1,5,3,4161,30,91
0.1,1,6,0,1133,24,80
0.1,1,6,1,2548,24,82
0.1,1,6,2,2681,24,82
0.1,1,6,3,4155,30,91
0.1,1,7,0,527,18,57
0.1,1,7,1,867,18,58
0.1,1,7,2,879,18,58
0.1,1,7,3,959,18,58
0.1,1,8,0,180,12,35
0.1,1,8,1,223,12,35
0.1,1,8,2,234,14,37
0.1,1,8,3,321,15,39
0.1,1,9,0,161,12,34
0.1,1,9,1,162,12,34
0.1,1,9,2,166,14,36
0.1,1,9,3,196,15,38
0.1,1,10,0,69,7,18
0.1,1,10,1,71,7,18
0.1,1,10,2,82,7,19
0.1,1,10,3,99,8,20
0.1,2,2,0,5000,0,0
0.1,2,2,1,5000,0,0
0.1,2,2,2,5000,0,0
0.1,2,2,3,5000,0,0
0.1,2,3,0,5000,0,0
0.1,2,3,1,5000,0,0
0.1,2,3,2,5000,0,0
0.1,2,3,3,5000,0,0
0.1,2,4,0,5000,35,103
0.1,2,4,1,5000,0,0
0.1,2,4,2,5000,0,0
0.1,2,4,3,5000,0,0
0.1,2,5,0,1491,27,84
0.1,2,5,1,3196,27,86
0.1,2,5,2,3445,27,86
0.1,2,5,3,5000,30,91
0.1,2,6,0,751,22,66
0.1,2,6,1,1363,22,67
0.1,2,6,2,1435,22,67
0.1,2,6,3,1828,22,67
0.1,2,7,0,501,22,64
0.1,2,7,1,625,22,64
0.1,2,7,2,646,22,64
0.1,2,7,3,868,22,64
0.1,2,8,0,239,13,33
0.1,2,8,1,365,13,34
0.1,2,8,2,382,13,35
0.1,2,8,3,578,15,37
0.1,2,9,0,105,9,21
0.1,2,9,1,158,9,22
0.1,2,9,2,191,9,24
0.1,2,9,3,276,10,25
0.1,2,10,0,41,5,12
0.1,2,10,1,49,5,13
0.1,2,10,2,72,5,14
0.1,2,10,3,100,5,14
0.1,3,2,0,5000,0,0
0.1,3,2,1,5000,0,0
0.1,3,2,2,5000,0,0
0.1,3,2,3,5000,0,0
0.1,3,3,0,5000,0,0
0.1,3,3,1,5000,0,0
0.1,3,3,2,5000,0,0
0.1,3,3,3,5000,0,0
0.1,3,4,0,4986,26,87
0.1,3,4,1,5000,0,0
0.1,3,4,2,5000,0,0
0.1,3,4,3,5000,0,0
0.1,3,5,0,1750,26,85
0.1,3,5,1,5000,26,83
0.1,3,5,2,5000,26,73
0.1,3,5,3,5000,0,0
0.1,3,6,0,1102,22,69
0.1,3,6,1,5000,22,71
0.1,3,6,2,5000,23,72
0.1,3,6,3,5000,6,14
0.1,3,7,0,297,11,39
0.1,3,7,1,788,11,40
0.1,3,7,2,889,12,43
0.1,3,7,3,1693,15,48
0.1,3,8,0,218,11,37
0.1,3,8,1,259,11,37
0.1,3,8,2,284,11,39
0.1,3,8,3,363,13,41
0.1,3,9,0,93,9,21
0.1,3,9,1,113,9,21
0.1,3,9,2,131,9,23
0.1,3,9,3,176,11,25
0.1,3,10,0,55,5,12
0.1,3,10,1,75,5,12
0.1,3,10,2,92,5,14
0.1,3,10,3,126,7,16
0.1,4,2,0,5000,0,0
0.1,4,2,1,5000,0,0
0.1,4,2,2,5000,0,0
0.1,4,2,3,5000,0,0
0.1,4,3,0,5000,0,0
0.1,4,3,1,5000,0,0
0.1,4,3,2,5000,0,0
0.1,4,3,3,5000,0,0
0.1,4,4,0,5000,28,81
0.1,4,4,1,5000,0,0
0.1,4,4,2,5000,0,0
0.1,4,4,3,5000,0,0
0.1,4,5,0,2241,30,94
0.1,4,5,1,5000,30,0
0.1,4,5,2,5000,28,84
0.1,4,5,3,5000,0,0
0.1,4,6,0,1372,25,82
0.1,4,6,1,5000,25,84
0.1,4,6,2,5000,26,85
0.1,4,6,3,5000,0,1
0.1,4,7,0,438,13,49
0.1,4,7,1,945,13,50
0.1,4,7,2,1060,14,54
0.1,4,7,3,1948,20,63
0.1,4,8,0,247,8,31
0.1,4,8,1,535,8,31
0.1,4,8,2,640,10,36
0.1,4,8,3,1041,13,42
0.1,4,9,0,110,7,17
0.1,4,9,1,159,7,18
0.1,4,9,2,219,8,27
0.1,4,9,3,296,9,29
0.1,4,10,0,84,7,16
0.1,4,10,1,101,7,16
0.1,4,10,2,138,8,20
0.1,4,10,3,177,8,21
0.1,5,2,0,5000,0,0
0.1,5,2,1,5000,0,0
0.1,5,2,2,5000,0,0
0.1,5,2,3,5000,0,0
0.1,5,3,0,5000,0,0
0.1,5,3,1,5000,0,0
0.1,5,3,2,5000,0,0
0.1,5,3,3,5000,0,0
0.1,5,4,0,5000,37,111
0.1,5,4,1,5000,0,0
0.1,5,4,2,5000,0,0
0.1,5,4,3,5000,0,0
0.1,5,5,0,4166,31,97
0.1,5,5,1,5000,0,0
0.1,5,5,2,5000,0,0
0.1,5,5,3,5000,0,0
0.1,5,6,0,1966,28,86
0.1,5,6,1,5000,0,0
0.1,5,6,2,5000,0,0
0.1,5,6,3,5000,0,0
0.1,5,7,0,646,20,62
0.1,5,7,1,1406,20,63
0.1,5,7,2,1494,20,66
0.1,5,7,3,2302,25,74
0.1,5,8,0,549,19,60
0.1,5,8,1,1238,19,61
0.1,5,8,2,1320,19,63
0.1,5,8,3,1979,21,67
0.1,5,9,0,298,11,34
0.1,5,9,1,816,11,34
0.1,5,9,2,879,12,40
0.1,5,9,3,1163,12,41
0.1,5,10,0,208,8,24
0.1,5,10,1,358,8,24
0.1,5,10,2,410,9,26
0.1,5,10,3,-1,9,26
0.2,1,2,0,5000,0,0
0.2,1,2,1,5000,0,0
0.2,1,2,2,5000,0,0
0.2,1,2,3,5000,0,0
0.2,1,3,0,5000,0,0
0.2,1,3,1,5000,0,0
0.2,1,3,2,5000,0,0
0.2,1,3,3,5000,0,0
0.2,1,4,0,2373,24,82
0.2,1,4,1,5000,24,84
0.2,1,4,2,5000,23,75
0.2,1,4,3,5000,18,47
0.2,1,5,0,1133,24,80
0.2,1,5,1,2548,24,82
0.2,1,5,2,2681,24,82
0.2,1,5,3,4161,30,91
0.2,1,6,0,1133,24,80
0.2,1,6,1,2548,24,82
0.2,1,6,2,2681,24,82
0.2,1,6,3,4155,30,91
0.2,1,7,0,527,18,57
0.2,1,7,1,867,18,58
0.2,1,7,2,879,18,58
0.2,1,7,3,959,18,58
0.2,1,8,0,180,12,35
0.2,1,8,1,223,12,35
0.2,1,8,2,234,14,37
0.2,1,8,3,321,15,39
0.2,1,9,0,161,12,34
0.2,1,9,1,162,12,34
0.2,1,9,2,166,14,36
0.2,1,9,3,196,15,38
0.2,1,10,0,69,7,18
0.2,1,10,1,71,7,18
0.2,1,10,2,82,7,19
0.2,1,10,3,99,8,20
0.2,2,2,0,5000,0,0
0.2,2,2,1,5000,0,0
0.2,2,2,2,5000,0,0
0.2,2,2,3,5000,0,0
0.2,2,3,0,5000,0,0
0.2,2,3,1,5000,0,0
0.2,2,3,2,5000,0,0
0.2,2,3,3,5000,0,0
0.2,2,4,0,4383,32,98
0.2,2,4,1,5000,0,0
0.2,2,4,2,5000,0,0
0.2,2,4,3,5000,0,0
0.2,2,5,0,1297,25,81
0.2,2,5,1,2890,25,83
0.2,2,5,2,3067,25,83
0.2,2,5,3,4654,30,91
0.2,2,6,0,739,22,66
0.2,2,6,1,1320,22,67
0.2,2,6,2,1372,22,67
0.2,2,6,3,1708,22,67
0.2,2,7,0,611,22,64
0.2,2,7,1,868,22,64
0.2,2,7,2,911,22,64
0.2,2,7,3,1178,22,64
0.2,2,8,0,176,10,24
0.2,2,8,1,277,10,25
0.2,2,8,2,296,10,26
0.2,2,8,3,406,12,28
0.2,2,9,0,117,7,18
0.2,2,9,1,162,7,19
0.2,2,9,2,170,7,20
0.2,2,9,3,238,8,21
0.2,2,10,0,52,6,13
0.2,2,10,1,94,6,15
0.2,2,10,2,121,6,15
0.2,2,10,3,183,7,16
0.2,3,2,0,5000,0,0
0.2,3,2,1,5000,0,0
0.2,3,2,2,5000,0,0
0.2,3,2,3,5000,0,0
0.2,3,3,0,5000,0,0
0.2,3,3,1,5000,0,0
0.2,3,3,2,5000,0,0
0.2,3,3,3,5000,0,0
0.2,3,4,0,5000,0,0
0.2,3,4,1,5000,0,0
0.2,3,4,2,5000,0,0
0.2,3,4,3,5000,0,0
0.2,3,5,0,5000,25,76
0.2,3,5,1,5000,0,0
0.2,3,5,2,5000,0,0
0.2,3,5,3,5000,0,0
0.2,3,6,0,738,15,51
0.2,3,6,1,1680,15,53
0.2,3,6,2,1894,16,57
0.2,3,6,3,3598,22,68
0.2,3,7,0,307,12,32
0.2,3,7,1,481,12,32
0.2,3,7,2,547,13,36
0.2,3,7,3,780,15,42
0.2,3,8,0,159,7,22
0.2,3,8,1,223,7,22
0.2,3,8,2,292,11,31
0.2,3,8,3,436,12,35
0.2,3,9,0,51,3,5
0.2,3,9,1,57,3,5
0.2,3,9,2,68,5,9
0.2,3,9,3,80,5,10
0.2,3,10,0,22,2,3
0.2,3,10,1,26,2,3
0.2,3,10,2,38,3,6
0.2,3,10,3,41,3,6
0.2,4,2,0,5000,0,0
0.2,4,2,1,5000,0,0
0.2,4,2,2,5000,0,0
0.2,4,2,3,5000,0,0
0.2,4,3,0,5000,0,0
0.2,4,3,1,5000,0,0
0.2,4,3,2,5000,0,0
0.2,4,3,3,5000,0,0
0.2,4,4,0,5000,0,0
0.2,4,4,1,5000,0,0
0.2,4,4,2,5000,0,0
0.2,4,4,3,5000,0,0
0.2,4,5,0,3742,31,93
0.2,4,5,1,5000,0,0
0.2,4,5,2,5000,0,0
0.2,4,5,3,5000,0,0
0.2,4,6,0,1770,25,77
0.2,4,6,1,5000,0,0
0.2,4,6,2,5000,0,0
0.2,4,6,3,5000,0,0
0.2,4,7,0,832,18,55
0.2,4,7,1,4901,20,59
0.2,4,7,2,5000,17,40
0.2,4,7,3,5000,0,0
0.2,4,8,0,155,16,34
0.2,4,8,1,514,17,36
0.2,4,8,2,800,19,40
0.2,4,8,3,1569,20,44
0.2,4,9,0,82,11,19
0.2,4,9,1,436,11,20
0.2,4,9,2,699,12,23
0.2,4,9,3,1432,13,26
0.2,4,10,0,25,6,9
0.2,4,10,1,30,6,9
0.2,4,10,2,39,6,9
0.2,4,10,3,48,7,10
0.2,5,2,0,5000,0,0
0.2,5,2,1,5000,0,0
0.2,5,2,2,5000,0,0
0.2,5,2,3,5000,0,0
0.2,5,3,0,5000,0,0
0.2,5,3,1,5000,0,0
0.2,5,3,2,5000,0,0
0.2,5,3,3,5000,0,0
0.2,5,4,0,5000,0,0
0.2,5,4,1,5000,0,0
0.2,5,4,2,5000,0,0
0.2,5,4,3,5000,0,0
0.2,5,5,0,5000,35,97
0.2,5,5,1,5000,0,0
0.2,5,5,2,5000,0,0
0.2,5,5,3,5000,0,0
0.2,5,6,0,4252,33,89
0.2,5,6,1,5000,0,0
0.2,5,6,2,5000,0,0
0.2,5,6,3,5000,0,0
0.2,5,7,0,1556,23,57
0.2,5,7,1,5000,0,1
0.2,5,7,2,5000,0,0
0.2,5,7,3,5000,0,0
0.2,5,8,0,235,13,33
0.2,5,8,1,1199,14,38
0.2,5,8,2,1557,16,
0.2,5,8,3,3332,16,
0.2,5,9,0,109,7,
0.2,5,9,1,1034,9,
0.2,5,9,2,1326,12,
0.2,5,9,3,3021,13,
0.2,5,10,0,65,7,
0.2,5,10,1,422,9,
0.2,5,10,2,643,12,
0.2,5,10,3,-1,12,
0.3,1,2,0,5000,0,0
0.3,1,2,1,5000,0,0
0.3,1,2,2,5000,0,0
0.3,1,2,3,5000,0,0
0.3,1,3,0,5000,0,0
0.3,1,3,1,5000,0,0
0.3,1,3,2,5000,0,0
0.3,1,3,3,5000,0,0
0.3,1,4,0,2375,24,82
0.3,1,4,1,5000,24,84
0.3,1,4,2,5000,23,75
0.3,1,4,3,5000,18,47
0.3,1,5,0,1135,24,80
0.3,1,5,1,2550,24,82
0.3,1,5,2,2684,24,82
0.3,1,5,3,4166,30,91
0.3,1,6,0,1135,24,80
0.3,1,6,1,2550,24,82
0.3,1,6,2,2684,24,82
0.3,1,6,3,4160,30,91
0.3,1,7,0,527,18,57
0.3,1,7,1,867,18,58
0.3,1,7,2,880,18,58
0.3,1,7,3,960,18,58
0.3,1,8,0,180,12,35
0.3,1,8,1,223,12,35
0.3,1,8,2,234,14,37
0.3,1,8,3,321,15,39
0.3,1,9,0,161,12,34
0.3,1,9,1,162,12,34
0.3,1,9,2,166,14,36
0.3,1,9,3,196,15,38
0.3,1,10,0,69,7,18
0.3,1,10,1,71,7,18
0.3,1,10,2,82,7,19
0.3,1,10,3,99,8,20
0.3,2,2,0,5000,0,0
0.3,2,2,1,5000,0,0
0.3,2,2,2,5000,0,0
0.3,2,2,3,5000,0,0
0.3,2,3,0,5000,0,0
0.3,2,3,1,5000,0,0
0.3,2,3,2,5000,0,0
0.3,2,3,3,5000,0,0
0.3,2,4,0,5000,24,56
0.3,2,4,1,5000,0,0
0.3,2,4,2,5000,0,0
0.3,2,4,3,5000,0,0
0.3,2,5,0,2249,27,86
0.3,2,5,1,5000,0,0
0.3,2,5,2,5000,0,0
0.3,2,5,3,5000,0,0
0.3,2,6,0,1093,23,67
0.3,2,6,1,5000,24,71
0.3,2,6,2,5000,5,16
0.3,2,6,3,5000,0,0
0.3,2,7,0,759,17,47
0.3,2,7,1,5000,18,51
0.3,2,7,2,5000,14,26
0.3,2,7,3,5000,0,0
0.3,2,8,0,520,15,41
0.3,2,8,1,2804,15,42
0.3,2,8,2,5000,18,48
0.3,2,8,3,5000,16,35
0.3,2,9,0,251,11,26
0.3,2,9,1,2254,11,27
0.3,2,9,2,3925,12,32
0.3,2,9,3,5000,13,32
0.3,2,10,0,75,8,12
0.3,2,10,1,704,8,13
0.3,2,10,2,1301,9,14
0.3,2,10,3,2419,10,16
0.3,3,2,0,5000,0,0
0.3,3,2,1,5000,0,0
0.3,3,2,2,5000,0,0
0.3,3,2,3,5000,0,0
0.3,3,3,0,5000,0,0
0.3,3,3,1,5000,0,0
0.3,3,3,2,5000,0,0
0.3,3,3,3,5000,0,0
0.3,3,4,0,5000,7,17
0.3,3,4,1,5000,0,0
0.3,3,4,2,5000,0,0
0.3,3,4,3,5000,0,0
0.3,3,5,0,3662,30,93
0.3,3,5,1,5000,0,0
0.3,3,5,2,5000,0,0
0.3,3,5,3,5000,0,0
0.3,3,6,0,2063,26,77
0.3,3,6,1,5000,11,28
0.3,3,6,2,5000,0,0
0.3,3,6,3,5000,0,0
0.3,3,7,0,599,13,34
0.3,3,7,1,2492,13,35
0.3,3,7,2,5000,14,39
0.3,3,7,3,5000,17,42
0.3,3,8,0,473,8,24
0.3,3,8,1,1892,8,24
0.3,3,8,2,4143,10,28
0.3,3,8,3,4810,13,31
0.3,3,9,0,413,6,17
0.3,3,9,1,1828,6,17
0.3,3,9,2,4066,8,20
0.3,3,9,3,4618,11,23
0.3,3,10,0,150,4,13
0.3,3,10,1,775,4,14
0.3,3,10,2,1572,7,17
0.3,3,10,3,2518,9,19
0.3,4,2,0,5000,0,0
0.3,4,2,1,5000,0,0
0.3,4,2,2,5000,0,0
0.3,4,2,3,5000,0,0
0.3,4,3,0,5000,0,0
0.3,4,3,1,5000,0,0
0.3,4,3,2,5000,0,0
0.3,4,3,3,5000,0,0
0.3,4,4,0,5000,0,0
0.3,4,4,1,5000,0,0
0.3,4,4,2,5000,0,0
0.3,4,4,3,5000,0,0
0.3,4,5,0,4508,27,85
0.3,4,5,1,5000,0,0
0.3,4,5,2,5000,0,0
0.3,4,5,3,5000,0,0
0.3,4,6,0,2946,27,81
0.3,4,6,1,5000,0,0
0.3,4,6,2,5000,0,0
0.3,4,6,3,5000,0,0
0.3,4,7,0,1744,23,66
0.3,4,7,1,5000,22,49
0.3,4,7,2,5000,0,0
0.3,4,7,3,5000,0,0
0.3,4,8,0,648,11,27
0.3,4,8,1,3220,11,29
0.3,4,8,2,5000,15,35
0.3,4,8,3,5000,3,7
0.3,4,9,0,288,7,16
0.3,4,9,1,1558,7,17
0.3,4,9,2,3169,10,22
0.3,4,9,3,4751,11,24
0.3,4,10,0,140,5,13
0.3,4,10,1,1237,5,13
0.3,4,10,2,2292,8,18
0.3,4,10,3,4029,9,20
0.3,5,2,0,5000,0,0
0.3,5,2,1,5000,0,0
0.3,5,2,2,5000,0,0
0.3,5,2,3,5000,0,0
0.3,5,3,0,5000,0,0
0.3,5,3,1,5000,0,0
0.3,5,3,2,5000,0,0
0.3,5,3,3,5000,0,0
0.3,5,4,0,5000,0,0
0.3,5,4,1,5000,0,0
0.3,5,4,2,5000,0,0
0.3,5,4,3,5000,0,0
0.3,5,5,0,5000,30,90
0.3,5,5,1,5000,0,0
0.3,5,5,2,5000,0,0
0.3,5,5,3,5000,0,0
0.3,5,6,0,3893,26,76
0.3,5,6,1,5000,0,0
0.3,5,6,2,5000,0,0
0.3,5,6,3,5000,0,0
0.3,5,7,0,1244,22,69
0.3,5,7,1,5000,0,1
0.3,5,7,2,5000,0,0
0.3,5,7,3,5000,0,0
0.3,5,8,0,532,15,38
0.3,5,8,1,4689,16,43
0.3,5,8,2,5000,17,41
0.3,5,8,3,5000,0,0
0.3,5,9,0,221,12,30
0.3,5,9,1,368,13,33
0.3,5,9,2,531,14,38
0.3,5,9,3,920,17,44
0.3,5,10,0,129,9,19
0.3,5,10,1,229,9,21
0.3,5,10,2,413,13,30
0.3,5,10,3,-1,13,30
0.4,1,2,0,5000,0,0
0.4,1,2,1,5000,0,0
0.4,1,2,2,5000,0,0
0.4,1,2,3,5000,0,0
0.4,1,3,0,5000,0,0
0.4,1,3,1,5000,0,0
0.4,1,3,2,5000,0,0
0.4,1,3,3,5000,0,0
0.4,1,4,0,2375,24,82
0.4,1,4,1,5000,24,84
0.4,1,4,2,5000,23,75
0.4,1,4,3,5000,18,47
0.4,1,5,0,1135,24,80
0.4,1,5,1,2550,24,82
0.4,1,5,2,2684,24,82
0.4,1,5,3,4166,30,91
0.4,1,6,0,1135,24,80
0.4,1,6,1,2550,24,82
0.4,1,6,2,2684,24,82
0.4,1,6,3,4160,30,91
0.4,1,7,0,527,18,57
0.4,1,7,1,867,18,58
0.4,1,7,2,880,18,58
0.4,1,7,3,960,18,58
0.4,1,8,0,180,12,35
0.4,1,8,1,223,12,35
0.4,1,8,2,234,14,37
0.4,1,8,3,321,15,39
0.4,1,9,0,161,12,34
0.4,1,9,1,162,12,34
0.4,1,9,2,166,14,36
0.4,1,9,3,196,15,38
0.4,1,10,0,96,8,17
0.4,1,10,1,97,8,17
0.4,1,10,2,101,10,19
0.4,1,10,3,118,11,21
0.4,2,2,0,5000,0,1
0.4,2,2,1,5000,0,0
0.4,2,2,2,5000,0,0
0.4,2,2,3,5000,0,0
0.4,2,3,0,5000,0,0
0.4,2,3,1,5000,0,0
0.4,2,3,2,5000,0,0
0.4,2,3,3,5000,0,0
0.4,2,4,0,4506,30,96
0.4,2,4,1,5000,0,0
0.4,2,4,2,5000,0,0
0.4,2,4,3,5000,0,0
0.4,2,5,0,1380,24,76
0.4,2,5,1,5000,26,87
0.4,2,5,2,5000,25,88
0.4,2,5,3,5000,23,60
0.4,2,6,0,634,20,60
0.4,2,6,1,1122,20,61
0.4,2,6,2,1351,20,64
0.4,2,6,3,1651,20,65
0.4,2,7,0,506,20,58
0.4,2,7,1,659,20,59
0.4,2,7,2,878,20,62
0.4,2,7,3,1059,20,63
0.4,2,8,0,309,13,35
0.4,2,8,1,403,13,36
0.4,2,8,2,544,13,37
0.4,2,8,3,650,13,37
0.4,2,9,0,128,9,19
0.4,2,9,1,177,9,20
0.4,2,9,2,259,11,23
0.4,2,9,3,383,12,25
0.4,2,10,0,60,4,9
0.4,2,10,1,102,4,10
0.4,2,10,2,174,5,13
0.4,2,10,3,318,6,16
0.4,3,2,0,5000,0,0
0.4,3,2,1,5000,0,0
0.4,3,2,2,5000,0,0
0.4,3,2,3,5000,0,0
0.4,3,3,0,5000,0,0
0.4,3,3,1,5000,0,0
0.4,3,3,2,5000,0,0
0.4,3,3,3,5000,0,0
0.4,3,4,0,5000,38,115
0.4,3,4,1,5000,34,77
0.4,3,4,2,5000,27,67
0.4,3,4,3,5000,0,0
0.4,3,5,0,2214,29,89
0.4,3,5,1,5000,32,101
0.4,3,5,2,5000,33,89
0.4,3,5,3,5000,21,51
0.4,3,6,0,1471,25,77
0.4,3,6,1,2139,29,88
0.4,3,6,2,3159,32,98
0.4,3,6,3,3455,32,99
0.4,3,7,0,936,23,72
0.4,3,7,1,1145,26,81
0.4,3,7,2,1716,27,86
0.4,3,7,3,2625,32,95
0.4,3,8,0,549,19,49
0.4,3,8,1,639,20,52
0.4,3,8,2,1000,20,61
0.4,3,8,3,1519,22,66
0.4,3,9,0,270,12,26
0.4,3,9,1,402,12,28
0.4,3,9,2,679,15,35
0.4,3,9,3,1061,15,38
0.4,3,10,0,103,5,14
0.4,3,10,1,163,5,16
0.4,3,10,2,284,7,21
0.4,3,10,3,449,7,22
0.4,4,2,0,5000,0,0
0.4,4,2,1,5000,0,0
0.4,4,2,2,5000,0,0
0.4,4,2,3,5000,0,0
0.4,4,3,0,5000,0,0
0.4,4,3,1,5000,0,0
0.4,4,3,2,5000,0,0
0.4,4,3,3,5000,0,0
0.4,4,4,0,5000,0,0
0.4,4,4,1,5000,0,0
0.4,4,4,2,5000,0,0
0.4,4,4,3,5000,0,0
0.4,4,5,0,3546,29,92
0.4,4,5,1,5000,0,0
0.4,4,5,2,5000,0,0
0.4,4,5,3,5000,0,0
0.4,4,6,0,2282,25,83
0.4,4,6,1,5000,0,0
0.4,4,6,2,5000,0,0
0.4,4,6,3,5000,0,0
0.4,4,7,0,1232,23,71
0.4,4,7,1,5000,16,37
0.4,4,7,2,5000,0,0
0.4,4,7,3,5000,0,0
0.4,4,8,0,585,19,51
0.4,4,8,1,664,20,54
0.4,4,8,2,1007,21,63
0.4,4,8,3,1528,23,68
0.4,4,9,0,270,12,26
0.4,4,9,1,402,12,28
0.4,4,9,2,679,15,35
0.4,4,9,3,1061,15,38
0.4,4,10,0,103,5,14
0.4,4,10,1,163,5,16
0.4,4,10,2,284,7,21
0.4,4,10,3,449,7,22
0.4,5,2,0,5000,0,0
0.4,5,2,1,5000,0,0
0.4,5,2,2,5000,0,0
0.4,5,2,3,5000,0,0
0.4,5,3,0,5000,0,0
0.4,5,3,1,5000,0,0
0.4,5,3,2,5000,0,0
0.4,5,3,3,5000,0,0
0.4,5,4,0,5000,9,27
0.4,5,4,1,5000,0,0
0.4,5,4,2,5000,0,0
0.4,5,4,3,5000,0,0
0.4,5,5,0,5000,31,99
0.4,5,5,1,5000,0,0
0.4,5,5,2,5000,0,0
0.4,5,5,3,5000,0,0
0.4,5,6,0,2472,26,88
0.4,5,6,1,5000,0,0
0.4,5,6,2,5000,0,0
0.4,5,6,3,5000,0,0
0.4,5,7,0,1260,23,72
0.4,5,7,1,5000,10,26
0.4,5,7,2,5000,0,0
0.4,5,7,3,5000,0,0
0.4,5,8,0,595,22,66
0.4,5,8,1,729,23,68
0.4,5,8,2,1086,24,73
0.4,5,8,3,1574,26,77
0.4,5,9,0,299,13,29
0.4,5,9,1,419,13,30
0.4,5,9,2,684,15,36
0.4,5,9,3,1066,15,39
0.4,5,10,0,103,5,14
0.4,5,10,1,163,5,16
0.4,5,10,2,284,7,21
0.4,5,10,3,-1,7,21
